Timestamp,IR Presence (Lane 1-4),Vehicle Count,Avg Speed (km/h),Vehicle Types Detected,Vehicle Density (%),Saturation Flow Rate(veh/hr/lane),"Volume to
 Saturation Lane Traffic ratio(%)",FreeFlowSpeed (km/h),TSR,VLSR,Speed Factor,CI,Congestion Level,traffic_reduction_pct,congestionStatus
8:47:00,"[1, 1, 0, 1]",158,35.6,"11 Vans, 45 Trucks, 85 Vans",90,1800,2.194444444,50,0.288,0.021944444,0.712,0.426377778,Very High,28.8,Low
8:48:00,"[0, 0, 0, 0]",136,36.4,"39 Bikes, 75 Trucks, 14 Ambulance",42,1800,1.888888889,50,0.272,0.018888889,0.728,0.229955556,Moderate,27.2,Low
8:49:00,"[0, 1, 1, 0]",155,25.5,"29 Cars, 44 Vans",36,1800,2.152777778,50,0.49,0.021527778,0.51,0.250611111,Moderate,49,Medium
8:50:00,"[1, 0, 1, 0]",178,49.1,"71 Patrol, 60 Ambulance, 50 Vans",42,1800,2.472222222,50,0.018,0.024722222,0.982,0.181488889,Low,1.8,Low
8:51:00,"[1, 0, 0, 0]",150,43.3,"33 Patrol, 84 Patrol, 94 Patrol",68,1800,2.083333333,50,0.134,0.020833333,0.866,0.307133333,High,13.4,Low
8:52:00,"[0, 0, 0, 1]",85,48.2,"24 Trucks, 43 Bikes, 89 Patrol, 66 Cars",46,1800,1.180555556,50,0.036,0.011805556,0.964,0.195922222,Low,3.6,Low
8:53:00,"[1, 0, 0, 1]",132,46.8,"18 Ambulance, 100 Bikes, 47 Bikes, 66 Bikes",56,1800,1.833333333,50,0.064,0.018333333,0.936,0.244133333,Moderate,6.4,Low
8:54:00,"[1, 0, 1, 1]",179,37.9,"67 Cars, 82 Fire Extinguisher",67,1800,2.486111111,50,0.242,0.024861111,0.758,0.326344444,High,24.2,Low
8:55:00,"[0, 1, 0, 0]",58,47.7,"71 Patrol, 45 Vans, 19 Cars",68,1800,0.805555556,50,0.046,0.008055556,0.954,0.284422222,Moderate,4.6,Low
8:56:00,"[1, 1, 1, 1]",192,22.7,"78 Cars, 30 Bikes, 83 Fire Extinguisher, 15 Fire Extinguisher",71,1800,2.666666667,50,0.546,0.026666667,0.454,0.403866667,Very High,54.6,Medium
8:57:00,"[0, 0, 1, 0]",138,25.9,"16 Bikes, 92 Patrol",64,1800,1.916666667,50,0.482,0.019166667,0.518,0.360066667,High,48.2,Medium
8:58:00,"[1, 0, 1, 1]",103,21.4,"37 Ambulance, 22 Fire Extinguisher, 56 Fire Extinguisher, 69 Trucks",68,1800,1.430555556,50,0.572,0.014305556,0.428,0.392122222,High,57.2,Medium
8:59:00,"[0, 1, 0, 1]",199,29.8,"72 Patrol, 75 Bikes, 26 Fire Extinguisher, 56 Bikes",72,1800,2.763888889,50,0.404,0.027638889,0.596,0.379855556,High,40.4,Medium
9:00:00,"[0, 1, 1, 1]",106,31.7,"18 Vans, 38 Ambulance, 32 Cars",47,1800,1.472222222,50,0.366,0.014722222,0.634,0.267088889,Moderate,36.6,Medium
9:01:00,"[1, 1, 1, 1]",77,28.1,"57 Bikes, 78 Cars",82,1800,1.069444444,50,0.438,0.010694444,0.562,0.419877778,Very High,43.8,Medium
9:02:00,"[0, 0, 1, 1]",101,44.9,"85 Fire Extinguisher, 36 Ambulance, 90 Trucks, 78 Cars",35,1800,1.402777778,50,0.102,0.014027778,0.898,0.166011111,Low,10.2,Low
9:03:00,"[0, 0, 0, 1]",178,30.7,"48 Cars, 50 Bikes",56,1800,2.472222222,50,0.386,0.024722222,0.614,0.311088889,High,38.6,Medium
9:04:00,"[0, 1, 1, 0]",116,28.4,"80 Cars, 85 Cars, 31 Trucks, 87 Trucks",90,1800,1.611111111,50,0.432,0.016111111,0.568,0.452844444,Very High,43.2,Medium
9:05:00,"[0, 1, 0, 1]",192,36.3,"67 Ambulance, 45 Ambulance, 53 Cars, 49 Vans",54,1800,2.666666667,50,0.274,0.026666667,0.726,0.281466667,Moderate,27.4,Low
9:06:00,"[1, 0, 0, 0]",52,24.2,"24 Ambulance, 98 Patrol",52,1800,0.722222222,50,0.516,0.007222222,0.484,0.314088889,High,51.6,Medium
9:07:00,"[0, 0, 1, 1]",78,44.1,"14 Patrol, 95 Bikes, 99 Ambulance, 84 Bikes",69,1800,1.083333333,50,0.118,0.010833333,0.882,0.303933333,High,11.8,Low
9:08:00,"[1, 0, 1, 1]",77,22.2,"58 Vans, 49 Vans",56,1800,1.069444444,50,0.556,0.010694444,0.444,0.339477778,High,55.6,Medium
9:09:00,"[1, 0, 1, 1]",180,49.6,"61 Patrol, 33 Ambulance, 16 Bikes",37,1800,2.5,50,0.008,0.025,0.992,0.1596,Low,0.8,Low
9:10:00,"[1, 0, 1, 1]",154,43.2,"100 Patrol, 34 Ambulance, 91 Fire Extinguisher",45,1800,2.138888889,50,0.136,0.021388889,0.864,0.215755556,Moderate,13.6,Low
9:11:00,"[0, 0, 1, 1]",64,26,"55 Cars, 90 Fire Extinguisher",32,1800,0.888888889,50,0.48,0.008888889,0.52,0.227555556,Moderate,48,Medium
9:12:00,"[1, 0, 0, 1]",65,20.2,"32 Bikes, 75 Bikes, 26 Ambulance",77,1800,0.902777778,50,0.596,0.009027778,0.404,0.430811111,Very High,59.6,Medium
9:13:00,"[0, 1, 1, 0]",102,44.5,"97 Vans, 87 Bikes, 63 Vans",54,1800,1.416666667,50,0.11,0.014166667,0.89,0.243666667,Moderate,11,Low
9:14:00,"[1, 0, 0, 1]",84,41.2,"61 Vans, 97 Bikes",65,1800,1.166666667,50,0.176,0.011666667,0.824,0.299866667,Moderate,17.6,Low
9:15:00,"[1, 1, 1, 1]",179,41.9,"10 Cars, 44 Ambulance, 16 Bikes",83,1800,2.486111111,50,0.162,0.024861111,0.838,0.374344444,High,16.2,Low
9:16:00,"[1, 0, 0, 0]",125,43.1,"31 Fire Extinguisher, 46 Cars, 48 Trucks",74,1800,1.736111111,50,0.138,0.017361111,0.862,0.330544444,High,13.8,Low
9:17:00,"[1, 1, 1, 0]",92,22.2,"80 Trucks, 73 Bikes",41,1800,1.277777778,50,0.556,0.012777778,0.444,0.280311111,Moderate,55.6,Medium
9:18:00,"[0, 1, 0, 0]",143,30.8,"95 Fire Extinguisher, 78 Fire Extinguisher",63,1800,1.986111111,50,0.384,0.019861111,0.616,0.336744444,High,38.4,Medium
9:19:00,"[1, 1, 0, 1]",189,23.5,"79 Vans, 60 Cars, 40 Patrol, 49 Vans",60,1800,2.625,50,0.53,0.02625,0.47,0.3565,High,53,Medium
9:20:00,"[0, 0, 0, 1]",131,45.9,"45 Fire Extinguisher, 87 Bikes",75,1800,1.819444444,50,0.082,0.018194444,0.918,0.323677778,High,8.2,Low
9:21:00,"[1, 0, 1, 0]",173,38.7,"34 Ambulance, 87 Patrol",49,1800,2.402777778,50,0.226,0.024027778,0.774,0.250811111,Moderate,22.6,Low
9:22:00,"[1, 0, 0, 1]",73,29.9,"23 Trucks, 32 Fire Extinguisher, 33 Patrol",32,1800,1.013888889,50,0.402,0.010138889,0.598,0.212455556,Moderate,40.2,Medium
9:23:00,"[0, 1, 1, 1]",160,21.9,"12 Cars, 33 Trucks, 81 Trucks",43,1800,2.222222222,50,0.562,0.022222222,0.438,0.293288889,Moderate,56.2,Medium
9:24:00,"[1, 1, 1, 0]",151,29.3,"15 Fire Extinguisher, 87 Trucks, 60 Vans, 29 Patrol",55,1800,2.097222222,50,0.414,0.020972222,0.586,0.311188889,High,41.4,Medium
9:25:00,"[1, 0, 1, 0]",185,29.8,"39 Vans, 30 Bikes",41,1800,2.569444444,50,0.404,0.025694444,0.596,0.255077778,Moderate,40.4,Medium
9:26:00,"[0, 1, 1, 0]",86,41.9,"77 Patrol, 91 Trucks",50,1800,1.194444444,50,0.162,0.011944444,0.838,0.237177778,Moderate,16.2,Low
9:27:00,"[1, 1, 1, 0]",166,39.1,"26 Bikes, 64 Ambulance",56,1800,2.305555556,50,0.218,0.023055556,0.782,0.276822222,Moderate,21.8,Low
9:28:00,"[1, 0, 1, 1]",145,46.6,"84 Trucks, 97 Ambulance",38,1800,2.013888889,50,0.068,0.020138889,0.932,0.173655556,Low,6.8,Low
9:29:00,"[0, 1, 0, 0]",91,34.2,"42 Vans, 53 Patrol",41,1800,1.263888889,50,0.316,0.012638889,0.684,0.232255556,Moderate,31.6,Medium
9:30:00,"[1, 0, 0, 0]",84,23.6,"84 Fire Extinguisher, 90 Patrol",85,1800,1.166666667,50,0.528,0.011666667,0.472,0.450266667,Very High,52.8,Medium
9:31:00,"[1, 1, 0, 0]",70,41.4,"41 Patrol, 61 Bikes, 79 Bikes, 72 Ambulance",87,1800,0.972222222,50,0.172,0.009722222,0.828,0.386288889,High,17.2,Low
9:32:00,"[0, 1, 1, 1]",108,42.8,"51 Bikes, 70 Patrol, 29 Patrol, 76 Patrol",48,1800,1.5,50,0.144,0.015,0.856,0.2268,Moderate,14.4,Low
9:33:00,"[0, 0, 1, 1]",60,36.8,"31 Bikes, 17 Fire Extinguisher",47,1800,0.833333333,50,0.264,0.008333333,0.736,0.244133333,Moderate,26.4,Low
9:34:00,"[1, 0, 1, 1]",198,43.1,"61 Patrol, 13 Bikes, 17 Bikes",70,1800,2.75,50,0.138,0.0275,0.862,0.3186,High,13.8,Low
9:35:00,"[1, 1, 0, 0]",122,34.8,"99 Trucks, 53 Patrol, 90 Ambulance",66,1800,1.694444444,50,0.304,0.016944444,0.696,0.331577778,High,30.4,Medium
9:36:00,"[1, 1, 1, 0]",197,35.7,"76 Ambulance, 87 Vans, 86 Fire Extinguisher, 97 Bikes",69,1800,2.736111111,50,0.286,0.027361111,0.714,0.344144444,High,28.6,Low
9:37:00,"[1, 1, 1, 0]",113,32.8,"92 Fire Extinguisher, 54 Fire Extinguisher, 65 Trucks, 38 Cars",90,1800,1.569444444,50,0.344,0.015694444,0.656,0.435077778,Very High,34.4,Medium
9:38:00,"[0, 0, 1, 0]",117,20.8,"43 Trucks, 72 Trucks",46,1800,1.625,50,0.584,0.01625,0.416,0.3073,High,58.4,Medium
9:39:00,"[0, 0, 0, 0]",83,23.2,"22 Patrol, 64 Fire Extinguisher, 54 Patrol, 69 Fire Extinguisher",37,1800,1.152777778,50,0.536,0.011527778,0.464,0.259811111,Moderate,53.6,Medium
9:40:00,"[0, 0, 1, 1]",64,20.9,"53 Bikes, 31 Vans",66,1800,0.888888889,50,0.582,0.008888889,0.418,0.383955556,High,58.2,Medium
9:41:00,"[1, 1, 0, 1]",147,39.1,"68 Cars, 80 Cars",63,1800,2.041666667,50,0.218,0.020416667,0.782,0.303766667,High,21.8,Low
9:42:00,"[1, 0, 0, 1]",158,29.4,"11 Vans, 94 Cars",73,1800,2.194444444,50,0.412,0.021944444,0.588,0.383177778,High,41.2,Medium
9:43:00,"[1, 1, 1, 1]",155,35.3,"32 Fire Extinguisher, 34 Bikes, 49 Vans",80,1800,2.152777778,50,0.294,0.021527778,0.706,0.387411111,High,29.4,Low
9:44:00,"[0, 1, 1, 0]",191,47.2,"48 Ambulance, 37 Bikes, 68 Trucks, 86 Patrol",61,1800,2.652777778,50,0.056,0.026527778,0.944,0.265811111,Moderate,5.6,Low
9:45:00,"[1, 1, 1, 1]",127,27.5,"60 Cars, 60 Fire Extinguisher, 68 Vans",84,1800,1.763888889,50,0.45,0.017638889,0.55,0.433055556,Very High,45,Medium
9:46:00,"[1, 0, 1, 0]",188,32.3,"79 Vans, 50 Patrol, 29 Trucks",81,1800,2.611111111,50,0.354,0.026111111,0.646,0.405244444,Very High,35.4,Medium
9:47:00,"[1, 1, 0, 0]",54,42.7,"27 Fire Extinguisher, 12 Vans, 56 Patrol",66,1800,0.75,50,0.146,0.0075,0.854,0.2962,Moderate,14.6,Low
9:48:00,"[1, 0, 0, 1]",178,26.9,"89 Bikes, 82 Trucks, 84 Patrol",34,1800,2.472222222,50,0.462,0.024722222,0.538,0.238288889,Moderate,46.2,Medium
9:49:00,"[0, 1, 0, 0]",78,22.3,"84 Trucks, 51 Cars, 12 Vans",71,1800,1.083333333,50,0.554,0.010833333,0.446,0.399133333,High,55.4,Medium
9:50:00,"[0, 0, 1, 0]",174,28.7,"34 Trucks, 34 Bikes",47,1800,2.416666667,50,0.426,0.024166667,0.574,0.282866667,Moderate,42.6,Medium
9:51:00,"[1, 0, 0, 1]",186,24.8,"59 Patrol, 74 Ambulance, 54 Patrol",36,1800,2.583333333,50,0.504,0.025833333,0.496,0.255133333,Moderate,50.4,Medium
9:52:00,"[0, 0, 0, 1]",149,47.9,"27 Fire Extinguisher, 22 Patrol, 12 Ambulance, 83 Patrol",60,1800,2.069444444,50,0.042,0.020694444,0.958,0.256677778,Moderate,4.2,Low
9:53:00,"[1, 0, 0, 0]",127,44.2,"80 Patrol, 93 Cars, 32 Cars",57,1800,1.763888889,50,0.116,0.017638889,0.884,0.258255556,Moderate,11.6,Low
9:54:00,"[0, 1, 0, 1]",158,39,"80 Ambulance, 61 Vans",88,1800,2.194444444,50,0.22,0.021944444,0.78,0.404777778,Very High,22,Low
9:55:00,"[1, 1, 0, 0]",135,46.1,"99 Fire Extinguisher, 14 Fire Extinguisher, 65 Fire Extinguisher, 44 Bikes",85,1800,1.875,50,0.078,0.01875,0.922,0.3631,High,7.8,Low
9:56:00,"[0, 1, 1, 1]",120,44.1,"54 Patrol, 44 Trucks, 77 Cars, 50 Fire Extinguisher",39,1800,1.666666667,50,0.118,0.016666667,0.882,0.186266667,Low,11.8,Low
9:57:00,"[0, 0, 1, 0]",174,25.6,"14 Ambulance, 79 Bikes, 69 Cars",80,1800,2.416666667,50,0.488,0.024166667,0.512,0.427266667,Very High,48.8,Medium
9:58:00,"[1, 0, 0, 0]",159,46.8,"52 Cars, 76 Patrol, 94 Ambulance",81,1800,2.208333333,50,0.064,0.022083333,0.936,0.345633333,High,6.4,Low
9:59:00,"[0, 0, 0, 1]",148,36.2,"74 Vans, 20 Cars, 87 Trucks",30,1800,2.055555556,50,0.276,0.020555556,0.724,0.183422222,Low,27.6,Low
10:00:00,"[1, 0, 1, 1]",106,44.2,"76 Fire Extinguisher, 76 Cars",77,1800,1.472222222,50,0.116,0.014722222,0.884,0.337088889,High,11.6,Low
10:01:00,"[0, 1, 1, 0]",120,46.9,"55 Fire Extinguisher, 68 Patrol, 78 Bikes",40,1800,1.666666667,50,0.062,0.016666667,0.938,0.179066667,Low,6.2,Low
10:02:00,"[0, 1, 1, 1]",80,29.5,"76 Trucks, 83 Ambulance, 93 Trucks",52,1800,1.111111111,50,0.41,0.011111111,0.59,0.294444444,Moderate,41,Medium
10:03:00,"[1, 0, 1, 0]",108,23.3,"15 Ambulance, 14 Patrol",84,1800,1.5,50,0.534,0.015,0.466,0.4488,Very High,53.4,Medium
10:04:00,"[1, 1, 0, 0]",74,26.8,"46 Fire Extinguisher, 100 Patrol, 80 Patrol",40,1800,1.027777778,50,0.464,0.010277778,0.536,0.256911111,Moderate,46.4,Medium
10:05:00,"[0, 1, 0, 0]",172,32.8,"31 Fire Extinguisher, 53 Trucks, 25 Fire Extinguisher",32,1800,2.388888889,50,0.344,0.023888889,0.656,0.206355556,Moderate,34.4,Medium
10:06:00,"[0, 1, 0, 0]",103,44.5,"60 Bikes, 33 Vans, 15 Fire Extinguisher",85,1800,1.430555556,50,0.11,0.014305556,0.89,0.367722222,High,11,Low
10:07:00,"[0, 1, 1, 0]",82,45.8,"22 Cars, 61 Vans",72,1800,1.138888889,50,0.084,0.011388889,0.916,0.309355556,High,8.4,Low
10:08:00,"[1, 0, 0, 0]",86,20.2,"34 Patrol, 54 Vans, 99 Bikes",35,1800,1.194444444,50,0.596,0.011944444,0.404,0.263977778,Moderate,59.6,Medium
10:09:00,"[1, 0, 1, 1]",129,35.3,"22 Fire Extinguisher, 18 Cars, 50 Bikes",75,1800,1.791666667,50,0.294,0.017916667,0.706,0.365966667,High,29.4,Low
10:10:00,"[0, 1, 1, 1]",81,32.5,"78 Trucks, 95 Vans, 29 Fire Extinguisher",78,1800,1.125,50,0.35,0.01125,0.65,0.3865,High,35,Medium
10:11:00,"[1, 0, 1, 0]",192,26.7,"86 Bikes, 61 Bikes, 34 Ambulance, 86 Ambulance",46,1800,2.666666667,50,0.466,0.026666667,0.534,0.287866667,Moderate,46.6,Medium
10:12:00,"[1, 0, 0, 0]",106,23.6,"13 Patrol, 25 Ambulance",67,1800,1.472222222,50,0.528,0.014722222,0.472,0.379488889,High,52.8,Medium
10:13:00,"[0, 1, 1, 0]",174,30.1,"50 Ambulance, 20 Vans",68,1800,2.416666667,50,0.398,0.024166667,0.602,0.361266667,High,39.8,Medium
10:14:00,"[1, 1, 0, 0]",70,48.3,"48 Cars, 28 Vans, 100 Bikes, 34 Ambulance",81,1800,0.972222222,50,0.034,0.009722222,0.966,0.334688889,High,3.4,Low
10:15:00,"[1, 0, 0, 0]",167,29.7,"21 Ambulance, 14 Fire Extinguisher, 41 Patrol, 40 Patrol",89,1800,2.319444444,50,0.406,0.023194444,0.594,0.446477778,Very High,40.6,Medium
10:16:00,"[1, 1, 0, 0]",177,35.6,"71 Cars, 42 Bikes, 63 Vans",50,1800,2.458333333,50,0.288,0.024583333,0.712,0.267433333,Moderate,28.8,Low
10:17:00,"[0, 0, 1, 0]",165,41.1,"38 Bikes, 52 Patrol",89,1800,2.291666667,50,0.178,0.022916667,0.822,0.400766667,Very High,17.8,Low
10:18:00,"[1, 0, 1, 0]",119,30.9,"81 Trucks, 22 Ambulance, 85 Patrol, 81 Bikes",64,1800,1.652777778,50,0.382,0.016527778,0.618,0.339011111,High,38.2,Medium
10:19:00,"[0, 1, 0, 1]",132,49.2,"29 Trucks, 71 Patrol",83,1800,1.833333333,50,0.016,0.018333333,0.984,0.342533333,High,1.6,Low
10:20:00,"[0, 0, 1, 1]",66,48.9,"23 Patrol, 66 Bikes, 14 Patrol, 53 Bikes",41,1800,0.916666667,50,0.022,0.009166667,0.978,0.172066667,Low,2.2,Low
10:21:00,"[0, 0, 0, 0]",131,27.6,"20 Bikes, 36 Vans",76,1800,1.819444444,50,0.448,0.018194444,0.552,0.400877778,Very High,44.8,Medium
10:22:00,"[1, 1, 0, 0]",174,34.9,"93 Ambulance, 54 Trucks, 30 Bikes",81,1800,2.416666667,50,0.302,0.024166667,0.698,0.394066667,High,30.2,Medium
10:23:00,"[1, 1, 0, 1]",93,29,"23 Trucks, 17 Bikes, 46 Bikes",48,1800,1.291666667,50,0.42,0.012916667,0.58,0.281166667,Moderate,42,Medium
10:24:00,"[0, 0, 1, 0]",51,28.5,"73 Fire Extinguisher, 14 Fire Extinguisher, 17 Cars",80,1800,0.708333333,50,0.43,0.007083333,0.57,0.408833333,Very High,43,Medium
