remote_worker_id,location,industry,age,experience_years,average_daily_work_hours,break_frequency_per_day,task_completion_rate,late_task_ratio,calendar_scheduled_usage,focus_time_minutes,tool_usage_frequency,automated_task_count,AI_assisted_planning,real_time_feedback_score,productivity_label,productivity_score,congestionStatus,avg_vehicle_count,avg_speed,avg_traffic_reduction
W0078,Village,Education,42,1,7.81,5,63.2827760949644,0.322097204246861,46.0030332724909,82,2,13,0,88,Low,25.4,Low,125.641259698768,42.4201734367869,15.1596531264263
W0079,Village,Finance,34,15,6.6,2,91.2262804997801,0.0433463699733124,87.9345520093677,200,18,7,0,52,High,48.2,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0080,Town,IT,43,26,5.46,5,73.5191444467298,0.252228418376126,43.9526450626885,108,12,11,0,53,Low,30.77,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0081,Village,Retail,40,21,6.53,4,71.4838760367612,0.281398272407053,36.985463847459,70,11,10,0,90,Low,28.26,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0082,City,Education,55,31,9.31,5,80.8078559042223,0.209908512311996,73.0316492266428,142,19,6,0,86,Medium,40.61,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0083,Town,IT,35,25,5.99,4,92.8249872662096,0.0555159729790155,94.6083253003947,189,0,8,0,64,High,46.29,Low,125.641259698768,42.4201734367869,15.1596531264263
W0084,City,Education,25,23,7.92,5,65.1763293522176,0.322908631285402,39.0996821558661,76,16,4,0,57,Low,27.38,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0085,City,Healthcare,48,24,8.74,2,97.7768037627489,0.073880138326819,97.8592918340966,215,12,9,0,87,High,50.66,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0086,Town,Retail,50,28,7.84,4,69.2501835035281,0.392590955736981,51.16067399577,69,0,10,0,99,Low,27.11,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0087,Village,IT,49,21,7.98,1,63.2158324150699,0.285956361736367,40.8055480037353,111,9,14,1,68,Low,28.11,Low,125.641259698768,42.4201734367869,15.1596531264263
W0088,City,IT,56,18,8.29,4,95.8586305052792,0.0976078332472519,90.6460872769633,208,14,2,1,96,High,50.8,Low,125.641259698768,42.4201734367869,15.1596531264263
W0089,Town,IT,29,9,7.96,2,87.7882257786583,0.161383822028769,74.2164406133767,120,6,5,0,75,Medium,40.82,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0090,City,IT,37,30,9.43,4,92.4756450814179,0.0807345621200369,95.2598587257939,204,17,4,1,88,High,51.47,Low,125.641259698768,42.4201734367869,15.1596531264263
W0091,City,IT,57,34,6.25,5,60.6638189059612,0.370175725494299,47.5270408534014,110,15,11,1,59,Low,29.05,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0092,City,Education,51,32,7.79,5,94.2791469018779,0.0197473583685683,92.5331727818268,229,13,3,0,87,High,49.29,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0093,City,Retail,39,3,5.32,2,81.9946577679827,0.145782179519329,78.5011090587314,136,17,11,0,63,Medium,42.3,Low,125.641259698768,42.4201734367869,15.1596531264263
W0094,Village,Healthcare,23,3,5.01,3,81.758197424675,0.149652438924234,74.0657581380826,128,6,1,0,98,Medium,39.1,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0095,City,Healthcare,34,28,7.4,5,92.4218344559377,0.0171709988973688,90.5966777792414,197,16,6,1,90,High,50.96,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0096,City,Healthcare,25,15,8.15,1,73.8507689297547,0.351873751861534,58.5635591744877,63,17,12,1,68,Low,35.78,Low,125.641259698768,42.4201734367869,15.1596531264263
W0097,City,Healthcare,47,23,9.46,2,78.9661513919678,0.100036440165177,62.4117850958094,145,11,4,0,79,Medium,37.43,Low,125.641259698768,42.4201734367869,15.1596531264263
W0098,Village,Education,46,11,10.4,4,86.7444305877609,0.104848489798914,69.8834757789155,131,7,3,1,54,Medium,42.41,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0099,City,Finance,51,32,9.08,4,96.0857159317398,0.0970904711449869,87.4721131906812,201,1,11,1,80,High,47.63,Low,125.641259698768,42.4201734367869,15.1596531264263
W0100,City,Retail,32,33,8.37,1,60.8895001139349,0.309437102022461,57.9507121744572,81,6,13,1,56,Low,30,Low,125.641259698768,42.4201734367869,15.1596531264263
W0101,Village,IT,28,24,7.69,5,65.6580780448788,0.381305689499085,42.0493085041815,110,3,7,0,68,Low,24.94,Low,125.641259698768,42.4201734367869,15.1596531264263
W0102,Village,Finance,52,34,5.66,2,90.3620726148739,0.0551141336194734,94.1736167702381,185,17,8,1,80,High,50.87,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0103,Village,Healthcare,31,28,7.32,1,64.2521339228456,0.388160422944937,39.3071277112638,84,5,8,1,88,Low,26.29,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0104,City,Finance,34,7,9.05,5,63.3824344685606,0.350830099534767,35.706004552478,118,8,2,1,73,Low,26.3,Low,125.641259698768,42.4201734367869,15.1596531264263
W0105,Village,Retail,52,4,8.58,2,88.2022899350403,0.219260932177175,63.4437548554795,129,8,2,1,83,Medium,40.61,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0106,Village,IT,28,1,5.96,4,72.1790138735579,0.268929263653936,49.6589526363866,118,13,4,1,72,Low,33.55,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0107,City,IT,57,1,8.24,2,73.4789873117303,0.268998380927079,42.1982768694858,100,7,4,1,97,Low,31.24,Low,125.641259698768,42.4201734367869,15.1596531264263
W0108,Village,Retail,41,20,8.13,3,73.1283831690875,0.263687748867857,30.5655767807051,90,18,9,1,94,Low,31.05,Low,125.641259698768,42.4201734367869,15.1596531264263
W0109,City,Retail,25,19,7.92,2,96.8553862056262,0.0436214417120045,83.8958760528785,183,2,1,0,89,High,45.88,Low,125.641259698768,42.4201734367869,15.1596531264263
W0110,Town,Healthcare,28,29,7.47,3,84.112129533558,0.129833755440703,64.5659338956368,174,17,0,0,55,Medium,40.32,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0111,Village,IT,22,10,8.3,2,68.9332981611503,0.29322282036661,36.8442299793877,110,4,7,1,87,Low,27.96,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0112,Town,Finance,34,18,8.34,3,91.3411962270979,0.00564013577607905,97.3659403632266,236,13,2,0,90,High,49.52,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0113,City,Education,43,28,6.73,4,75.0253684741695,0.133572712908464,66.468380521889,131,3,0,1,85,Medium,37.12,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0114,Village,Education,42,31,8.05,5,91.4926801266925,0.0240996257995918,98.7225114308027,237,6,0,1,76,High,50.25,Low,125.641259698768,42.4201734367869,15.1596531264263
W0115,City,Retail,43,27,7.27,3,79.6243076257963,0.102958861969476,62.5684780292572,169,19,10,1,60,Medium,41.24,Low,125.641259698768,42.4201734367869,15.1596531264263
W0116,Town,Healthcare,49,11,5.72,3,64.6901199794078,0.28109237838246,40.9561078933729,75,11,14,0,54,Low,27.02,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0117,City,Education,30,5,6.83,4,97.5773494450229,0.058240096486794,93.7799996997714,195,1,1,1,66,High,49.73,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0118,Village,IT,47,8,5.62,3,75.9224903104476,0.128693373504477,67.7407001606156,137,10,5,1,56,Medium,39.1,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0119,Village,Retail,30,34,8.68,1,91.1092023087481,0.0406249095976905,95.4207674048971,196,13,5,0,76,High,48.69,Low,125.641259698768,42.4201734367869,15.1596531264263
W0120,Town,Finance,36,12,7.93,4,91.2703357597323,0.00585366000800501,86.108269970855,189,15,13,0,96,High,47.62,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0121,City,Retail,31,1,7.07,1,86.3515935870718,0.247147945419803,77.6044078342685,148,19,2,1,64,Medium,44.82,Low,125.641259698768,42.4201734367869,15.1596531264263
W0122,Village,Finance,45,31,9.2,4,82.8093417602961,0.15691920708902,69.6244499982624,167,5,11,0,95,Medium,38.27,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0123,Town,Retail,29,4,7.58,3,84.6410307317015,0.246798112200695,73.8054843093055,177,3,3,0,62,Medium,38.36,Low,125.641259698768,42.4201734367869,15.1596531264263
W0124,Village,Retail,45,5,5.78,1,98.0430471295552,0.0163114675116679,84.9840754118258,194,14,11,1,60,High,51.13,Low,125.641259698768,42.4201734367869,15.1596531264263
W0125,Village,Retail,37,30,6.97,3,79.8985364910636,0.182697608599422,66.8313197458801,178,0,12,1,94,Medium,37.58,Low,125.641259698768,42.4201734367869,15.1596531264263
W0126,City,Finance,47,24,9.46,4,97.6145883343616,0.0423386749067462,80.0900896196058,203,6,1,1,75,High,48.16,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0127,Village,Finance,48,3,6.7,3,66.3261666251319,0.369542125602347,47.1223569901289,91,11,1,0,71,Low,27.86,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0128,City,Retail,58,11,7.83,1,67.6723009612079,0.355410744893438,52.9883987676418,63,9,14,0,77,Low,29.17,Low,125.641259698768,42.4201734367869,15.1596531264263
W0129,Village,Education,25,4,8.39,1,60.688136802146,0.250797125373229,39.5140208500841,115,4,6,0,73,Low,24.45,Low,125.641259698768,42.4201734367869,15.1596531264263
W0130,Town,Healthcare,45,26,8.21,3,75.3419763611689,0.161762150138536,66.3260546922851,124,11,12,1,78,Medium,38.5,Low,125.641259698768,42.4201734367869,15.1596531264263
W0131,Village,Healthcare,40,27,10.44,2,65.0387965070151,0.350170932997993,31.1772835737688,94,17,0,0,58,Low,25.68,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0132,City,Healthcare,57,27,6.09,4,71.1692332109205,0.38821866043248,58.376673041048,77,9,6,0,91,Low,30.98,Low,125.641259698768,42.4201734367869,15.1596531264263
W0133,City,Finance,31,6,6.21,4,62.8593406879781,0.287080767839595,58.8865730906709,107,5,13,1,53,Low,30.81,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0134,Town,Finance,46,15,6.11,3,78.5254058281279,0.247154423367261,71.6604514213312,172,11,11,1,98,Medium,39.69,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0135,Village,Education,39,30,7.14,2,76.1983937395188,0.12751868271383,74.4096697876499,167,6,13,1,95,Medium,39.74,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0136,Village,Healthcare,40,23,8.82,1,60.4863592642269,0.297981936500165,47.3030788679156,71,17,11,0,67,Low,28.06,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0137,Town,Healthcare,57,6,6.26,5,93.6509392023181,0.0611494852719199,93.9206281397823,233,1,13,1,92,High,48.56,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0138,Village,Retail,31,4,8.84,5,98.1548776558014,0.0494754240435704,82.6752139015401,208,9,0,0,65,High,47.37,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0139,Village,Finance,54,18,7.54,3,82.2891749522776,0.21133015136817,69.6849746900748,150,14,13,0,82,Medium,39.37,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0140,City,Healthcare,26,9,6.17,2,61.9755350766571,0.341319694027059,35.1995908225414,83,11,5,1,78,Low,26.45,Low,125.641259698768,42.4201734367869,15.1596531264263
W0141,Village,Education,56,29,5.4,2,73.6642822053429,0.381033336434063,39.5519639439923,109,16,2,1,88,Low,31.44,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0142,Village,Education,55,13,5.67,4,71.1558744748097,0.269135222704643,56.195732694274,101,3,7,1,59,Low,32.54,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0143,Town,Healthcare,54,17,6.7,1,61.043146465461,0.326558908202306,58.1137418946005,109,6,5,1,58,Low,29.92,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0144,Town,Finance,42,32,7.3,2,97.845365186849,0.00932978554767435,90.4174807326977,239,8,10,1,80,High,51.04,Low,125.641259698768,42.4201734367869,15.1596531264263
W0145,City,Education,38,22,9.12,5,71.7801566393874,0.342654187928289,48.6882719192647,61,18,1,0,77,Low,31.47,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0146,Village,Retail,43,4,8.46,1,77.9087888121562,0.103042047234187,69.1089001739149,141,6,7,0,52,Medium,37.42,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0147,Village,Education,58,5,6.49,1,78.00796448995,0.106049524157727,63.8215943092172,157,1,4,0,63,Medium,35.37,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0148,Village,IT,36,13,7.99,3,88.9041574502623,0.213745392581578,75.0790158708561,142,5,7,1,74,Medium,42.61,Low,125.641259698768,42.4201734367869,15.1596531264263
W0149,City,IT,56,34,9.48,2,94.7675387550833,0.0270674605965289,80.5834133714815,197,17,7,0,64,High,47.76,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0150,City,Finance,49,22,9.75,3,73.2409850473734,0.389478775075084,41.0610449697173,84,5,5,1,51,Low,29.32,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0151,Town,Healthcare,28,23,7.12,2,70.4544063091742,0.378664832255866,44.3545010466614,98,12,1,1,73,Low,30.66,Low,125.641259698768,42.4201734367869,15.1596531264263
W0152,City,Finance,53,3,8.65,4,62.5851174425118,0.30116414748811,45.7626497506772,96,18,7,0,63,Low,28.56,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0153,Village,Finance,32,34,9.17,3,75.9100110452844,0.223796260363447,62.3928721799025,163,1,14,0,97,Medium,33.28,Low,125.641259698768,42.4201734367869,15.1596531264263
W0154,Village,Finance,31,32,5.69,3,82.8207127161267,0.235542680469807,62.1089014645144,125,11,14,1,56,Medium,39.16,Medium,124.515487748497,27.3363384188627,45.3273231622746
